,after_Acc,after_Acc_class,after_fwIoU,after_mIoU,before_Acc,before_Acc_class,before_fwIoU,before_mIoU,filename,markssp_num,ssp_num,threshold
248,0.745536804,0.77775072,0.708603586,0.465833651,0.686531067,0.794625337,0.64911156,0.471533377,softmax_prob_top_potsdam_4_15_RGBIR_1848_3696.tif,113,,
249,0.742523193,0.676419893,0.61321544,0.475950318,0.660964966,0.6233739,0.520141097,0.393986171,softmax_prob_top_potsdam_6_8_RGBIR_5488_5082.tif,113,,
250,0.925415039,0.833032177,0.864130576,0.75323996,0.921199799,0.841378612,0.858511956,0.750571197,softmax_prob_top_potsdam_3_13_RGBIR_4158_3696.tif,113,,
251,0.956855774,0.887724806,0.950752575,0.213316797,0.942897797,0.824085513,0.9355347,0.190391488,softmax_prob_top_potsdam_7_13_RGBIR_3234_4158.tif,113,,
252,0.923480988,0.858695024,0.87568195,0.660776459,0.906543732,0.768035162,0.855523516,0.619507877,softmax_prob_top_potsdam_7_9_RGBIR_924_2310.tif,113,,
253,0.892295837,0.834446277,0.861032985,0.512929365,0.869457245,0.829943719,0.83550522,0.505906115,softmax_prob_top_potsdam_4_14_RGBIR_5082_0.tif,113,,
254,0.852645874,0.857754097,0.748906247,0.716731489,0.801948547,0.816737251,0.676336696,0.64633034,softmax_prob_top_potsdam_6_14_RGBIR_924_924.tif,113,,
255,0.955196381,0.731873396,0.933075549,0.611262697,0.948760986,0.651251744,0.924223223,0.554983231,softmax_prob_top_potsdam_7_8_RGBIR_4158_5488.tif,113,,
256,0.903995514,0.785926252,0.847161144,0.697161473,0.867713928,0.724849234,0.804374155,0.649351691,softmax_prob_top_potsdam_3_10_RGBIR_462_462.tif,113,,
257,0.943710327,0.944218491,0.913480931,0.563505386,0.925796509,0.710167287,0.888462418,0.530053186,softmax_prob_top_potsdam_6_14_RGBIR_4620_462.tif,113,,
258,0.842479706,0.704275975,0.773998396,0.359202272,0.807704926,0.652736597,0.733204381,0.324924662,softmax_prob_top_potsdam_6_8_RGBIR_3234_462.tif,113,,
259,0.992656708,0.77372418,0.986290797,0.556602186,0.993335724,0.898072028,0.987395431,0.631494522,softmax_prob_top_potsdam_6_11_RGBIR_462_5082.tif,113,,
260,0.905254364,0.882109266,0.832913537,0.79260247,0.879619598,0.84958088,0.796073028,0.746920993,softmax_prob_top_potsdam_7_9_RGBIR_2772_4158.tif,113,,
261,0.842056274,0.828332121,0.724131041,0.723889359,0.792728424,0.781972498,0.651800206,0.655440551,softmax_prob_top_potsdam_4_13_RGBIR_924_3234.tif,113,,
262,0.940460205,0.663641653,0.892906633,0.503116266,0.910751343,0.606420648,0.842051583,0.452925136,softmax_prob_top_potsdam_6_7_RGBIR_4620_924.tif,113,,
263,0.917831421,0.878672903,0.862975389,0.621270616,0.896881104,0.851999333,0.832646656,0.590561521,softmax_prob_top_potsdam_6_10_RGBIR_924_924.tif,113,,
264,0.901294708,0.908018868,0.836904172,0.501334508,0.863605499,0.881432595,0.78696104,0.346018201,softmax_prob_top_potsdam_3_12_RGBIR_3234_1386.tif,113,,
265,0.849906921,0.869870439,0.737484419,0.646686924,0.820129395,0.855177603,0.691757401,0.636162433,softmax_prob_top_potsdam_3_10_RGBIR_4620_2310.tif,113,,
266,0.869853973,0.837974078,0.772634775,0.601936201,0.834835052,0.791331581,0.719784502,0.554073685,softmax_prob_top_potsdam_7_9_RGBIR_5082_3696.tif,113,,
267,0.894382477,0.884373003,0.820863045,0.643025245,0.881347656,0.869967593,0.801269414,0.625378595,softmax_prob_top_potsdam_2_12_RGBIR_3696_2772.tif,113,,
268,0.89081955,0.846871111,0.803252129,0.75844555,0.862468719,0.796648553,0.758129344,0.700915181,softmax_prob_top_potsdam_6_12_RGBIR_2772_2772.tif,113,,
269,0.935871124,0.745103819,0.892572419,0.648187253,0.917720795,0.715297009,0.862186562,0.613084325,softmax_prob_top_potsdam_6_12_RGBIR_1848_3234.tif,113,,
270,0.771987915,0.58185518,0.696379632,0.289714827,0.71780777,0.486982717,0.642016348,0.237585009,softmax_prob_top_potsdam_7_9_RGBIR_2772_4620.tif,113,,
271,0.926357269,0.829284993,0.864822229,0.691010556,0.913894653,0.917637906,0.84463947,0.684538095,softmax_prob_top_potsdam_6_9_RGBIR_5488_4158.tif,113,,
272,0.971878052,0.793619105,0.947613003,0.461400738,0.966827393,0.747611636,0.938239103,0.43357554,softmax_prob_top_potsdam_5_13_RGBIR_0_462.tif,113,,
273,0.931835175,0.823618471,0.889690367,0.614070952,0.917243958,0.833913378,0.870948774,0.60735341,softmax_prob_top_potsdam_4_13_RGBIR_5082_4158.tif,113,,
274,0.760204315,0.69745367,0.616734238,0.462324099,0.691837311,0.618949268,0.530829055,0.383968671,softmax_prob_top_potsdam_4_14_RGBIR_924_462.tif,113,,
275,0.930229187,0.765726928,0.871726875,0.707335888,0.90807724,0.683389913,0.832846714,0.613706712,softmax_prob_top_potsdam_3_11_RGBIR_3234_3234.tif,113,,
276,0.947784424,0.809250978,0.918220951,0.498525238,0.932765961,0.752096939,0.901235299,0.449914525,softmax_prob_top_potsdam_6_7_RGBIR_4158_2310.tif,113,,
277,0.95998764,0.622451818,0.923589843,0.358654946,0.955711365,0.578707301,0.915528182,0.33204349,softmax_prob_top_potsdam_2_10_RGBIR_4158_1848.tif,113,,
278,0.929027557,0.864885656,0.870239712,0.792838841,0.914203644,0.814416198,0.845609848,0.754816875,softmax_prob_top_potsdam_3_14_RGBIR_2772_1848.tif,113,,
279,0.926696777,0.91970345,0.867206917,0.642120396,0.915622711,0.907265929,0.849256464,0.627086799,softmax_prob_top_potsdam_5_11_RGBIR_4158_1386.tif,113,,
280,0.933525085,0.867404583,0.889599234,0.517004336,0.913478851,0.846355386,0.86427272,0.490629785,softmax_prob_top_potsdam_7_10_RGBIR_4158_2772.tif,113,,
281,0.930652618,0.859607764,0.888415664,0.664731251,0.914405823,0.839822208,0.866783843,0.63621526,softmax_prob_top_potsdam_4_15_RGBIR_2772_3696.tif,113,,
282,0.90447998,0.784414304,0.841093764,0.674441752,0.883022308,0.802527856,0.812027831,0.655804478,softmax_prob_top_potsdam_7_8_RGBIR_4158_1386.tif,113,,
283,0.890739441,0.79677282,0.807857317,0.708242996,0.868099213,0.761122334,0.773794157,0.654845811,softmax_prob_top_potsdam_3_14_RGBIR_924_4620.tif,113,,
284,0.935031891,0.745215749,0.877555444,0.713799117,0.92861557,0.73464559,0.866233764,0.700528042,softmax_prob_top_potsdam_6_13_RGBIR_5082_2772.tif,113,,
285,0.918933868,0.873438162,0.85973249,0.795413518,0.90171051,0.840555134,0.833406534,0.758881007,softmax_prob_top_potsdam_6_13_RGBIR_5082_1386.tif,113,,
286,0.932380676,0.83351997,0.882339428,0.471569681,0.915763855,0.787897044,0.856257935,0.440371782,softmax_prob_top_potsdam_6_13_RGBIR_0_1386.tif,113,,
287,0.923709869,0.811160101,0.866679043,0.720721661,0.916675568,0.73832448,0.856548583,0.660906325,softmax_prob_top_potsdam_7_7_RGBIR_5488_924.tif,113,,
288,0.904529572,0.802429035,0.836311271,0.664045042,0.87966156,0.791000066,0.800554488,0.637326414,softmax_prob_top_potsdam_6_9_RGBIR_5082_1848.tif,113,,
289,0.948516846,0.756089496,0.909647317,0.557116132,0.9375,0.667151241,0.893344507,0.491371181,softmax_prob_top_potsdam_5_12_RGBIR_3234_3696.tif,113,,
290,0.955669403,0.928685519,0.918774523,0.691074116,0.943386078,0.916135227,0.900303248,0.666773959,softmax_prob_top_potsdam_6_12_RGBIR_5082_3696.tif,113,,
291,0.795936584,0.75772892,0.662134417,0.537483386,0.753669739,0.717395331,0.605019227,0.49431771,softmax_prob_top_potsdam_5_13_RGBIR_2310_1848.tif,113,,
292,0.838729858,0.693179908,0.73088978,0.505309195,0.806190491,0.676220429,0.686326097,0.485087974,softmax_prob_top_potsdam_3_10_RGBIR_3696_924.tif,113,,
293,0.91015625,0.853209946,0.849604353,0.645075782,0.892757416,0.848938322,0.825820525,0.621693108,softmax_prob_top_potsdam_7_8_RGBIR_5082_462.tif,113,,
294,0.927955627,0.863826828,0.86994135,0.785031679,0.920349121,0.864721682,0.859210653,0.773131215,softmax_prob_top_potsdam_6_10_RGBIR_924_5082.tif,113,,
295,0.873477936,0.740004992,0.779234981,0.55386379,0.852939606,0.694416307,0.74737041,0.509396469,softmax_prob_top_potsdam_4_12_RGBIR_5082_2310.tif,113,,
296,0.958145142,0.863864051,0.922989583,0.671824952,0.940441132,0.892381097,0.892939478,0.688747435,softmax_prob_top_potsdam_7_12_RGBIR_5082_5488.tif,113,,
297,0.845691681,0.757901118,0.744705558,0.548091394,0.790283203,0.676405804,0.663016954,0.487811735,softmax_prob_top_potsdam_5_10_RGBIR_2310_1848.tif,113,,
298,0.936634064,0.894253929,0.885418517,0.660316844,0.92962265,0.878927064,0.8742585,0.645647262,softmax_prob_top_potsdam_3_10_RGBIR_924_4620.tif,113,,
299,0.841358185,0.58394678,0.732281178,0.515594648,0.815681458,0.561479819,0.694219189,0.487068673,softmax_prob_top_potsdam_7_9_RGBIR_4620_3696.tif,113,,
300,0.807933807,0.747141094,0.716310441,0.399981081,0.716682434,0.670849668,0.600401645,0.333338291,softmax_prob_top_potsdam_3_11_RGBIR_2772_3234.tif,113,,
301,0.920734406,0.784211364,0.854995022,0.702634466,0.916564941,0.771656077,0.848117155,0.685799394,softmax_prob_top_potsdam_3_13_RGBIR_1848_1848.tif,113,,
