,filename,markssp_num
316,softmax_prob_chicago33_1386_4158.tif,72
317,softmax_prob_chicago33_1848_3234.tif,106
318,softmax_prob_chicago33_1848_3696.tif,133
319,softmax_prob_chicago33_2310_3696.tif,89
320,softmax_prob_chicago33_2772_4158.tif,78
321,softmax_prob_chicago33_3234_2772.tif,75
322,softmax_prob_chicago33_3696_1848.tif,64
323,softmax_prob_chicago33_4158_2310.tif,73
324,softmax_prob_chicago33_4158_462.tif,62
325,softmax_prob_chicago33_462_924.tif,101
326,softmax_prob_chicago33_924_462.tif,78
327,softmax_prob_chicago34_0_2772.tif,71
328,softmax_prob_chicago34_0_4158.tif,129
329,softmax_prob_chicago34_2772_1848.tif,62
330,softmax_prob_chicago34_3696_1386.tif,69
331,softmax_prob_chicago34_4158_1386.tif,74
332,softmax_prob_chicago34_4158_1848.tif,81
333,softmax_prob_chicago34_462_2310.tif,66
334,softmax_prob_chicago34_462_3696.tif,77
335,softmax_prob_chicago34_924_4488.tif,105
336,softmax_prob_chicago35_0_0.tif,68
337,softmax_prob_chicago35_0_1848.tif,110
338,softmax_prob_chicago35_1848_2772.tif,75
339,softmax_prob_chicago35_1848_924.tif,56
340,softmax_prob_chicago35_2772_1848.tif,83
341,softmax_prob_chicago35_2772_924.tif,68
342,softmax_prob_chicago35_3234_3696.tif,57
343,softmax_prob_chicago35_4488_924.tif,35
344,softmax_prob_chicago35_462_2310.tif,77
345,softmax_prob_chicago36_0_1386.tif,81
346,softmax_prob_chicago36_1386_3234.tif,91
347,softmax_prob_chicago36_2310_1848.tif,82
348,softmax_prob_chicago36_2310_2310.tif,75
349,softmax_prob_chicago36_2772_2310.tif,64
350,softmax_prob_chicago36_2772_4158.tif,67
351,softmax_prob_chicago36_3696_462.tif,75
352,softmax_prob_chicago36_4488_1848.tif,40
353,softmax_prob_chicago36_462_462.tif,79
354,softmax_prob_chicago3_1386_0.tif,68
355,softmax_prob_chicago3_1386_3234.tif,75
356,softmax_prob_chicago3_1848_1386.tif,74
357,softmax_prob_chicago3_2310_0.tif,76
358,softmax_prob_chicago3_2310_2772.tif,71
359,softmax_prob_chicago3_2772_2310.tif,75
360,softmax_prob_chicago3_2772_3696.tif,77
361,softmax_prob_chicago3_2772_462.tif,73
362,softmax_prob_chicago3_3696_4488.tif,65
363,softmax_prob_chicago3_4158_3234.tif,91
364,softmax_prob_chicago3_924_3234.tif,79
365,softmax_prob_chicago4_0_4158.tif,73
366,softmax_prob_chicago4_1386_2310.tif,95
367,softmax_prob_chicago4_1386_4158.tif,78
368,softmax_prob_chicago4_1386_4488.tif,78
